Claim_ID,Age_Group,Income_Bracket,Settlement_Team,Policy_Type,Claim_Amount,Claim_Duration_Days,Premium_Amount,Num_Prior_Claims,Policy_Tenure_Years,Gender,Region,Settlement_Status
CLM00001,31-45,Middle (30K-70K),Team C,Health,3807.22,87,2008.99,1,17,Female,Central,Rejected
CLM00002,60+,Middle (30K-70K),Team C,Whole Life,23578.46,92,1908.31,1,4,Male,South,Settled
CLM00003,46-60,Low (<30K),Team B,Term Life,18942.0,47,2507.12,0,20,Female,Central,Settled
CLM00004,46-60,Middle (30K-70K),Team C,Term Life,42167.61,80,4359.22,0,19,Female,East,Settled
CLM00005,18-30,Middle (30K-70K),Team C,Whole Life,5171.62,107,742.41,4,7,Male,North,Settled
CLM00006,18-30,Middle (30K-70K),Team D,Term Life,13916.21,56,3026.85,1,1,Male,Central,Settled
CLM00007,18-30,Middle (30K-70K),Team D,Health,2596.64,38,889.75,1,9,Female,North,Rejected
CLM00008,60+,Middle (30K-70K),Team A,Term Life,31001.59,11,7950.35,1,13,Female,North,Rejected
CLM00009,46-60,High (70K-150K),Team C,Health,24900.56,67,2425.64,1,24,Female,South,Settled
CLM00010,46-60,High (70K-150K),Team A,Auto,24220.78,15,1296.18,3,2,Male,West,Settled
CLM00011,18-30,High (70K-150K),Team B,Term Life,13385.71,1,2547.77,0,2,Male,Central,Settled
CLM00012,60+,High (70K-150K),Team B,Whole Life,21976.47,7,1821.4,2,24,Male,South,Settled
CLM00013,46-60,Premium (150K+),Team B,Term Life,91601.87,1,1590.57,2,15,Female,South,Rejected
CLM00014,31-45,Low (<30K),Team B,Health,9488.98,49,425.23,1,17,Female,North,Settled
CLM00015,18-30,Low (<30K),Team C,Health,15778.04,96,796.83,3,13,Male,Central,Rejected
CLM00016,18-30,Low (<30K),Team B,Whole Life,3628.77,73,1615.88,2,7,Male,South,Rejected
CLM00017,31-45,High (70K-150K),Team C,Whole Life,4713.03,29,468.4,1,9,Female,East,Settled
CLM00018,31-45,Premium (150K+),Team B,Auto,15023.58,26,1130.32,1,12,Female,South,Settled
CLM00019,31-45,Low (<30K),Team A,Term Life,50247.71,87,1212.09,1,3,Male,East,Settled
CLM00020,31-45,Premium (150K+),Team C,Term Life,9822.81,45,969.18,2,23,Female,West,Settled
CLM00021,46-60,Low (<30K),Team B,Auto,10065.81,107,3353.92,3,22,Female,East,Rejected
CLM00022,18-30,Premium (150K+),Team B,Health,8198.76,93,894.14,1,15,Male,East,Settled
CLM00023,31-45,Middle (30K-70K),Team C,Auto,7032.46,116,1940.55,2,7,Male,North,Settled
CLM00024,31-45,Low (<30K),Team B,Health,19033.69,102,1363.03,2,23,Male,South,Rejected
CLM00025,31-45,Middle (30K-70K),Team A,Health,2215.63,97,1644.12,0,1,Male,West,Settled
CLM00026,46-60,Middle (30K-70K),Team B,Whole Life,62138.9,71,6536.26,3,14,Female,South,Rejected
CLM00027,18-30,Middle (30K-70K),Team D,Health,6011.88,12,2087.56,0,19,Male,East,Settled
CLM00028,31-45,Middle (30K-70K),Team C,Auto,31770.21,95,2436.76,1,16,Male,East,Settled
CLM00029,46-60,High (70K-150K),Team C,Health,2910.27,32,980.11,1,10,Female,South,Rejected
CLM00030,18-30,Middle (30K-70K),Team C,Term Life,29810.27,118,2983.7,1,1,Male,West,Rejected
CLM00031,46-60,Middle (30K-70K),Team A,Term Life,29921.53,20,2884.7,2,5,Female,West,Settled
CLM00032,18-30,High (70K-150K),Team B,Term Life,21184.87,119,2670.68,1,3,Male,North,Settled
CLM00033,18-30,High (70K-150K),Team C,Term Life,4050.87,51,687.22,5,17,Male,East,Rejected
CLM00034,60+,Middle (30K-70K),Team A,Whole Life,18023.97,81,1132.07,0,18,Female,East,Settled
CLM00035,60+,Middle (30K-70K),Team B,Health,3230.31,36,5692.27,1,21,Male,North,Rejected
CLM00036,46-60,Low (<30K),Team B,Health,9864.37,67,1042.95,1,19,Female,South,Rejected
CLM00037,31-45,Low (<30K),Team B,Whole Life,45949.38,1,6348.61,1,22,Male,East,Rejected
CLM00038,18-30,High (70K-150K),Team D,Health,34753.73,114,1167.81,1,22,Female,South,Rejected
